ax,ay,az,gx,gy,gz,thetaG,phiG,thetaA,phiA,theta,phi
0.1884765625,-0.4826660156,0.8859863281,2.4503817558,-3.2213740348,-4.0000000000,-3.0190842151,-5.4977097511,-4.0000000000,-10.5813760757,-18.7703571319,-7.7412338256
0.1579589843,-0.4870605468,0.8710937500,1.0610686540,1.9847328186,-2.5419847965,-2.9660308837,-5.3984732627,-2.5419847965,-8.9937887191,-18.9193191528,-7.6690335273
0.1694335937,-0.4887695312,0.8559570312,1.2290076017,-1.1374045610,-2.6946563720,-2.9045803070,-5.4553437232,-2.6946563720,-9.7535791397,-19.0658206939,-7.7664575576
0.1655273437,-0.4873046875,0.8647460937,3.0687022209,0.4351144790,-2.0305342674,-2.7511453628,-5.4335880279,-2.0305342674,-9.4676170349,-19.1134071350,-7.7791604995
0.1643066406,-0.4863281250,0.8603515625,-1.3816794204,-0.1984732818,-0.7328244209,-2.8202293395,-5.4435114860,-0.7328244209,-9.4392728805,-19.3796501159,-7.8220877647
0.1794433593,-0.4633789062,0.8601074218,-1.9312976837,-1.8244275093,-1.3969465446,-2.9167940139,-5.5347328186,-1.3969465446,-10.4075212478,-19.6428260803,-7.9631934165
0.1750488281,-0.4531250000,0.8588867187,-0.9083969116,0.2290076255,-2.2061069011,-2.9622139930,-5.5232825279,-2.2061069011,-10.2184486389,-19.8412113189,-7.9970774650
0.1765136718,-0.4602050781,0.8701171875,0.9770992279,-0.5496182918,-3.0687022209,-2.9133588790,-5.5507636070,-3.0687022209,-10.1665010452,-19.9445018768,-8.0673971176
0.1835937500,-0.4538574218,0.8659667968,-0.3587786197,-2.1068701744,-2.7709922790,-2.9312977790,-5.6561069488,-2.7709922790,-10.6352901458,-20.1060848236,-8.2219915390
0.1892089843,-0.4460449218,0.8825683593,-1.8091603279,-1.7328244209,-3.8549618721,-3.0217556953,-5.7427482604,-3.8549618721,-10.8318681716,-20.3185520172,-8.3590984344
0.1704101562,-0.4621582031,0.9013671875,-1.7251908779,0.9618320465,-3.6335878372,-3.1080152988,-5.6946568489,-3.6335878372,-9.5496063232,-20.5314998626,-8.3357791900
0.1745605468,-0.4594726562,0.8969726562,-0.0076335878,-0.0381679391,-3.7175571918,-3.1083970069,-5.6965651512,-3.7175571918,-9.8266105651,-20.6551227569,-8.3674659729
0.1750488281,-0.4562988281,0.8642578125,1.5801526069,5.2213740348,-2.5343511104,-3.0293893814,-5.4354963302,-2.5343511104,-10.1546545028,-20.7117862701,-8.1473627090
0.1562500000,-0.4377441406,0.8398437500,-1.9007634162,5.0305342674,-4.9847326278,-3.1244275569,-5.1839694976,-4.9847326278,-9.3683290481,-20.9333248138,-7.9252858161
0.1696777343,-0.4362792968,0.8520507812,-3.5038168430,3.1908397674,-4.4045801162,-3.2996184825,-5.0244274139,-4.4045801162,-10.0515689849,-21.2196369171,-7.8114600181
0.1706542968,-0.4704589843,0.8903808593,-1.2061069011,6.7862596511,0.4732824325,-3.3599238395,-4.6851143836,0.4732824325,-9.6181364059,-21.4028701782,-7.5150671005
0.1774902343,-0.4479980468,0.8781738281,-0.7099236965,3.0763359069,-1.5496183395,-3.3954200744,-4.5312976837,-1.5496183395,-10.2061147689,-21.5409336090,-7.4181475639
0.1716308593,-0.4274902343,0.8669433593,-2.0000000000,0.0229007625,-1.0305343866,-3.4954199790,-4.5301527976,-1.0305343866,-10.0684585571,-21.7243900299,-7.4700322151
0.1757812500,-0.4267578125,0.8828125000,2.2137403488,0.4580152511,-1.9618320465,-3.3847329616,-4.5072522163,-1.9618320465,-10.1633348464,-21.6887416839,-7.5014557838
0.1750488281,-0.4113769531,0.8896484375,-1.6717556953,-4.2137403488,-1.0534350872,-3.4683208465,-4.7179393768,-1.0534350872,-10.1258621215,-21.8249645233,-7.7604174613
0.1696777343,-0.4216308593,0.9079589843,0.9389312744,-1.0458015203,-1.2442748546,-3.4213743209,-4.7702293395,-1.2442748546,-9.6198987960,-21.8331623077,-7.8488516807
0.1586914062,-0.4333496093,0.8803710937,2.3969466686,3.6030533313,-1.8396945953,-3.3015270233,-4.5900764465,-1.8396945953,-9.1865787506,-21.7959861755,-7.6990566253
0.1586914062,-0.4387207031,0.8623046875,0.2213740587,2.8167939186,-2.3511450290,-3.2904582023,-4.4492368698,-2.3511450290,-9.3148870468,-21.8808650970,-7.5933508872
0.1604003906,-0.4343261718,0.8793945312,0.6335877895,2.3816792964,-2.0992367267,-3.2587788105,-4.3301529884,-2.0992367267,-9.2879266738,-21.9304828643,-7.5105404853
0.1625976562,-0.4116210937,0.8691406250,-2.9694657325,1.7251908779,-1.0610686540,-3.4072520732,-4.2438936233,-1.0610686540,-9.5965757369,-22.1366367340,-7.4677271842
0.1708984375,-0.4377441406,0.9040527343,1.2442748546,5.5267176628,-0.8778625488,-3.3450384140,-3.9675577163,-0.8778625488,-9.6558609008,-22.1418132781,-7.2406806945
0.1618652343,-0.4208984375,0.9035644531,0.3511450290,2.1908397674,-2.5877861976,-3.3274812698,-3.8580158233,-2.5877861976,-9.2235784530,-22.1744213104,-7.1729879379
0.1350097656,-0.4106445312,0.8906250000,1.2748091220,7.8549618721,0.2977099227,-3.2637407779,-3.4652676582,0.2977099227,-7.8381733894,-22.1586017608,-6.8013987541
0.1325683593,-0.3969726562,0.8989257812,-2.4503817558,-0.9007633209,-1.0992366027,-3.3862597942,-3.5103058815,-1.0992366027,-7.6831169128,-22.3074932098,-6.8631706237
0.1667480468,-0.4135742187,0.9160156250,3.4732823371,-2.7251908779,-1.1679389476,-3.2125957012,-3.6465654373,-1.1679389476,-9.4201335906,-22.1701622009,-7.0478444099
0.1496582031,-0.4001464843,0.9052734375,6.1221375465,0.5648855209,-0.5877862453,-2.9064888954,-3.6183211803,-0.5877862453,-8.5983095169,-21.8980140686,-7.0511741638
0.1472167968,-0.3923339843,0.9016113281,6.3358778953,0.1374045729,2.5572519302,-2.5896949768,-3.6114509105,2.5572519302,-8.5151281356,-21.6144294738,-7.0737204551
0.1596679687,-0.3491210937,0.8786621093,7.2213740348,-10.3129768371,0.4274808883,-2.2286262512,-4.1270999908,0.4274808883,-9.5853872299,-21.2553348541,-7.6292896270
0.1628417968,-0.3974609375,0.9233398437,2.9923663139,-5.3435115814,0.9541984558,-2.0790078639,-4.3942756652,0.9541984558,-9.2014722824,-21.1430625915,-7.9225659370
0.1726074218,-0.3715820312,0.9128417968,7.7480916976,1.1832060813,-0.3587786197,-1.6916032791,-4.3351154327,-0.3587786197,-9.9337034225,-20.7765445709,-7.9048118591
0.1569824218,-0.3632812500,0.8759765625,1.3893129825,6.4503817558,-2.9007633209,-1.6221376419,-4.0125961303,-2.9007633209,-9.3993711471,-20.7370567321,-7.6186342239
0.1301269531,-0.3542480468,0.8869628906,2.2442748546,12.7099237442,0.6488549709,-1.5099239349,-3.3770999908,0.6488549709,-7.7585444450,-20.6435909271,-6.9986462593
0.1403808593,-0.3442382812,0.8857421875,-0.7175572395,12.1374044418,-2.6030533313,-1.5458017349,-2.7702298164,-2.6030533313,-8.4032545089,-20.6858673095,-6.4320058822
0.1125488281,-0.3627929687,0.9125976562,-2.7251908779,5.7709922790,-2.1603052616,-1.6820612907,-2.4816801548,-2.1603052616,-6.5378112792,-20.8363170623,-6.1513438224
0.1354980468,-0.2951660156,0.8535156250,1.6259541511,19.2671756744,4.3282442092,-1.6007635593,-1.5183212757,4.3282442092,-8.5327014923,-20.7170677185,-5.2548789978
0.0947265625,-0.3315429687,0.8967285156,22.6717548370,35.6793899536,16.4732818603,-0.4671758651,0.2656482458,16.4732818603,-5.6584310531,-19.5955619812,-3.5146601200
0.0585937500,-0.2709960937,0.8842773437,16.3053436279,49.7633590698,24.8091602325,0.3480913639,2.7538161277,24.8091602325,-3.6250417232,-18.7447509765,-1.0784630775
0.0012207031,-0.1665039062,0.8330078125,22.1450386047,99.0534362792,47.7328262329,1.4553433418,7.7064881324,47.7328262329,-0.0823334693,-17.5108184814,3.7950780391
-0.0478515625,-0.1276855468,0.7602539062,-22.7251911163,188.6717529296,90.9236679077,0.3190838098,17.1400756835,90.9236679077,3.5519170761,-18.4644451141,13.0351314544
-0.4111328125,-0.3757324218,0.8706054687,-10.5954198837,-250.1374053955,146.8854980468,-0.2106872081,4.6332054138,146.8854980468,23.4406852722,-19.0406951904,0.9865097045
-0.7119140625,-0.2043457031,0.8244628906,12.8167934417,159.1374053955,70.5496215820,0.4301524639,12.5900764465,70.5496215820,39.9673309326,-18.2443561553,9.5638599395
-0.8400878906,-0.3884277343,0.9062500000,27.4809169769,-35.1832046508,-7.8473281860,1.8041982650,10.8309164047,-7.8473281860,40.4319801330,-16.8818931579,8.4572458267
-0.5556640625,-0.2094726562,0.9353027343,64.5267181396,-163.5725250244,-73.3282470703,5.0305342674,2.6522903442,-73.3282470703,30.1025428771,-13.6004199981,0.8750982284
-0.3535156250,-0.1696777343,0.8603515625,21.2977104187,-69.4503784179,-44.1832046508,6.0954198837,-0.8202285766,-44.1832046508,21.9559173583,-12.4915885925,-2.1063539981
-0.3603515625,-0.2309570312,0.9628906250,41.4198455810,-52.0687026977,-35.0687026977,8.1664123535,-3.4236638545,-35.0687026977,19.9973220825,-10.4654016494,-4.2156472206
-0.3239746093,-0.1660156250,0.9355468750,44.0534362792,-70.6030502319,-24.5801525115,10.3690843582,-6.9538164138,-24.5801525115,18.8277091979,-8.2878551483,-7.2143301963
-0.2714843750,-0.1066894531,0.9431152343,50.7480926513,-78.8625946044,-20.9465656280,12.9064893722,-10.8969459533,-20.9465656280,15.9623708724,-5.7595267295,-10.6150636672
-0.1831054687,0.0007324219,0.9240722656,25.5038166046,-31.0152664184,-22.5419845581,14.1816806793,-12.4477090835,-22.5419845581,11.2080049514,-4.3937582969,-11.6983499526
-0.1918945312,-0.1347656250,1.0173339843,24.4198474884,-6.4732823371,-11.3435115814,15.4026727676,-12.7713727951,-11.3435115814,10.5915012359,-3.2576446533,-11.5697431564
-0.1962890625,-0.0344238281,0.9643554687,18.1755733489,1.9160305023,-17.6412220001,16.3114509582,-12.6755714416,-17.6412220001,11.4979333877,-2.3419554233,-11.0145044326
-0.1782226562,-0.0212402343,0.9472656250,18.7938938140,-9.5954198837,-14.8854961395,17.2511463165,-13.1553421020,-14.8854961395,10.6526985168,-1.3994629383,-11.0513362884
-0.1264648437,-0.0046386718,0.8852539062,0.6412213325,74.9542007446,-18.4427490234,17.2832069396,-9.4076318740,-18.4427490234,8.1299924850,-1.3459979295,-6.9949536323
-0.2204589843,-0.0263671875,0.8903808593,-13.3129768371,181.1068725585,3.9007633209,16.6175575256,-0.3522882461,3.9007633209,13.9009332656,-2.0043444633,2.2972009181
-0.5554199218,0.0373535156,0.6855468750,28.5343513488,-250.1374053955,19.2671756744,18.0442752838,-12.8591585159,19.2671756744,38.9723472595,-0.5175895690,-9.2260293960
-0.8107910156,0.0349121093,0.6550292968,39.0839691162,-250.1374053955,46.6717567443,19.9984741210,-25.3660278320,46.6717567443,51.0258979797,1.4462441444,-20.2777233123
-0.9416503906,0.0078125000,0.4594726562,57.0000000000,-250.1374053955,38.6259536743,22.8484745025,-37.8728981018,38.6259536743,63.9869537353,4.2188634872,-30.8491592407
-1.2141113281,0.1674804687,0.1196289062,105.7633590698,-250.1374053955,107.3740463256,28.1366424560,-50.3797683715,107.3740463256,80.3786315917,9.4732246398,-40.8813400268
-1.0451660156,0.2617187500,-0.1181640625,71.8167953491,237.5801544189,69.3816757202,31.7274818420,-38.5007591247,69.3816757202,74.6371612548,13.0822391510,-26.9295425415
-0.8842773437,0.2490234375,-0.3623046875,89.8015289306,157.2137451171,67.8473281860,36.2175598144,-30.6400718688,67.8473281860,63.5649642944,17.5129852294,-17.4161796569
-0.8981933593,0.2834472656,-0.5266113281,70.4809188842,218.9618377685,72.3282470703,39.7416076660,-19.6919784545,72.3282470703,56.3429412841,20.9208679199,-5.2118668556
-0.6809082031,0.2690429687,-0.6406250000,17.5877857208,81.5343475341,74.9694671630,40.6209983825,-15.6152610778,74.9694671630,44.4203414916,21.6853446960,-0.2240397453
-0.5983886718,0.3676757812,-0.8000488281,82.7633590698,138.8091583251,100.7709960937,44.7591667175,-8.6748027801,100.7709960937,34.2003517150,25.7111320495,7.2660970687
-0.6037597656,0.2365722656,-0.7810058593,41.1374053955,38.3587799072,60.8320617675,46.8160362243,-6.7568635940,60.8320617675,36.4961433410,27.4821758270,9.7302789688
-0.4182128906,0.2521972656,-0.9055175781,84.0839691162,95.4351119995,105.7328262329,51.0202331542,-1.9851078987,105.7328262329,23.9850463867,31.3364429473,14.6916961669
-0.3457031250,0.3408203125,-1.0109863281,102.2595443725,76.7099227905,61.3587799072,56.1332092285,1.8503883361,61.3587799072,17.9538383483,36.0742683410,18.5157260894
-0.2358398437,0.1740722656,-1.0939941406,50.7786254882,87.5343475341,41.7175559997,58.6721420288,6.2271060943,41.7175559997,12.0187530517,38.0177612304,22.6749725341
-0.1606445312,0.0942382812,-1.0397949218,14.1450386047,47.4351158142,3.2061069011,59.3793945312,8.5988616943,3.2061069011,8.7472581863,38.0528793334,24.7207393646
-0.2148437500,-0.1088867187,-0.7343750000,-13.6717557907,-7.4656486511,-35.9389305114,58.6958084106,8.2255792617,-35.9389305114,16.1398849487,36.4599227905,24.1833076477
-0.1608886718,0.0742187500,-1.0349121093,64.5572509765,82.2519073486,46.3129768371,61.9236717224,12.3381748199,46.3129768371,8.8142557144,38.9751014709,27.9062690734
-0.1411132812,0.0969238281,-1.0505371093,45.4122123718,20.7175579071,-14.1603050231,64.1942825317,13.3740530014,-14.1603050231,7.6184825897,40.5252914428,28.5156745910
-0.0678710937,0.0361328125,-1.0402832031,66.9694671630,-29.1145038604,3.9465648651,67.5427551269,11.9183273315,3.9465648651,3.7306091785,43.0359916687,26.5933628082
-0.1040039062,0.2248535156,-0.9824218750,41.0076332092,12.6030530929,3.3053436279,69.5931396484,12.5484800338,3.3053436279,5.8918604850,44.4410934448,26.7968826293
-0.2653808593,-0.0495605468,-0.9355468750,62.8549613952,-7.7709922790,12.3129768371,72.7358856201,12.1599302291,12.3129768371,15.8156585693,46.5738182067,26.1964797973
-0.1296386718,-0.1394042968,-1.0278320312,2.0916030406,12.8625955581,-35.6488533020,72.8404693603,12.8030595779,-35.6488533020,7.1241111755,45.5915527343,26.4453010559
-0.0251464843,-0.0646972656,-1.0080566406,10.8396949768,7.6106872558,5.3969464302,73.3824539184,13.1835937500,5.3969464302,1.4260432720,45.1374473571,26.3178405761
-0.0178222656,-0.0554199218,-0.9875488281,-4.1984734535,11.3893127441,-20.4809169769,73.1725311279,13.7530593872,-20.4809169769,1.0322791337,43.9647483825,26.3702049255
