ax,ay,az,gx,gy,gz
-8116,-4996,18488,-2752,-465,6885
-8744,-3812,16388,-939,1117,6450
-11404,-3484,14288,-4243,1878,3869
-6936,-1116,11700,705,104,7611
-7172,176,11584,-424,2055,6024
-8856,-840,13364,3308,1681,45
-10392,-820,14856,3579,2514,-3399
-11320,-2116,15788,3302,910,-3706
-11240,-3704,15420,5994,-2894,-3931
-10016,-860,14672,4215,-3924,-2989
-8596,628,13224,4138,-3066,-1750
-8448,1492,12544,2008,-1199,-1627
-9320,2392,13400,1527,-3161,-596
-9388,3636,13648,1689,-3669,-1868
-8804,280,13320,2578,-532,478
-8300,236,13436,-99,1887,-449
-7036,584,12128,-477,3568,1135
-7400,220,11916,-479,4402,-1208
-8596,-252,12876,121,2596,-3013
-9568,-160,14004,1083,-2377,-3127
-9288,340,14892,2652,-6267,-3090
-7288,1084,14404,2840,-5624,-2358
-5824,3208,13444,-1643,-1049,-783
-5748,2508,12412,534,2588,-1550
-6560,1072,13728,-2995,6351,-1721
-9080,8,15956,-1605,4087,849
-9328,-664,15472,1165,-798,1510
-8396,808,14652,673,-3845,1210
-7268,1520,13704,-128,-3565,301
-6920,2432,13756,-1710,-1900,-1090
-7060,2708,13964,-1141,-972,-1206
-7384,2076,14352,-2008,1597,-2759
-8248,1828,14832,-369,1743,-517
-8068,1676,14392,502,-1371,-259
-7788,1628,13980,-59,-1700,-499
-7796,1240,13712,-104,591,-841
-8008,1112,13932,483,1758,-213
-7712,1620,13600,1191,357,-71
-7668,976,13564,1024,169,-704
-8252,544,13952,310,-155,-1196
-8156,1320,14124,-407,-433,-944
-7968,1380,14564,-675,-191,-1145
-8036,360,15020,148,435,-1076
-8520,808,14932,-396,1294,-1680
-9404,576,14848,430,135,-866
-8596,920,13980,1124,-1128,-67
-8516,1864,14144,-1517,633,-569
-8720,872,14468,-834,54,-766
-8824,556,14072,-754,-677,-1030
-8780,424,14040,-810,-60,-372
-8820,316,13824,-825,440,-30
-8776,236,14108,-1153,131,489
-8672,140,14196,-1135,-563,625
-8552,-112,14140,-731,-727,756
-8292,232,14104,-630,-301,1020
-8216,-8,14216,-52,872,340
-8408,-112,14116,-371,1366,242
-8696,-184,14112,-216,-502,79
-8488,168,13892,-211,-1286,92
-8360,8,14024,-102,-324,30
-8568,604,14000,37,763,151
-8740,484,14284,65,772,-165
-9588,-744,15716,1335,1177,-1380
-11048,-1948,18520,-3347,2212,-1644
-10924,-740,16096,1210,2735,421
-9840,-3184,13424,732,4282,-1425
-9904,-2656,12288,3801,3449,-3019
-10012,-1988,11636,5621,-2049,-4317
-8868,-2180,11040,6161,-6633,-4651
-8052,-1000,11268,6274,-6712,-6080
-7112,444,11332,4947,-2369,-5981
-6972,1356,11788,3226,237,-7007
-7792,1368,12604,3043,74,-8399
-8452,1564,13180,3478,-1071,-7444
-8496,1216,13668,4518,-3668,-6101
-8400,1412,13756,3657,-4766,-7605
-7516,1052,13524,2974,-3034,-6948
-7020,1016,13796,1075,162,-6633
-7192,1100,14556,374,1573,-6843
-8368,1548,15060,-883,853,-6331
-8840,976,15140,-731,-1697,-5132
-8836,-16,15136,396,-3199,-6536
-8116,-1156,14500,-704,-2677,-4656
-7804,-840,14412,-1180,-4364,-4359
-6672,-728,13908,-1656,-2940,-3607
-6248,-1036,14864,-2504,422,-3540
-6668,-844,15724,-2017,2285,-1991
-6240,-1212,16096,-1275,1186,-308
-6568,-1456,16592,-2149,-82,-125
-7244,-2968,16720,-1149,-1671,338
-6988,-4272,16732,-2361,-1311,-443
-5508,-4048,14076,419,753,4271
-5364,-3268,13620,673,155,2621
-5580,-2284,13332,-233,-266,1351
-5876,-1912,13572,-1633,-67,4028
-6568,-1736,14492,-3785,-1446,5655
-6900,-2536,15732,-4267,-4480,6713
-7248,-3540,16484,-3853,-6105,6546
-7384,-4856,16940,-4075,-4516,8466
-7364,-4556,14928,-2096,-3248,10021
-6760,-3964,13828,-2660,-2168,10464
-6216,-2144,13196,-958,-1690,9517
-6280,-2496,13484,-1548,928,6719
-6768,-2800,14400,-942,3365,6381
-7264,-2920,15948,-1687,3334,5222
-8628,-3956,16400,-1372,-371,2722
-7772,-3916,14364,-433,-2148,4450
-7084,-3504,13992,-1024,-2376,4395
-5360,-1408,12276,276,-957,5146
-5908,-2012,13400,-2873,132,1374
-6328,-1784,14524,-1767,610,2863
-7756,-1448,16392,-1811,-436,2708
-8908,-2256,16480,-1177,-3374,1547
-8060,-2304,15960,-3553,-4189,6040
-8116,-2912,15152,-2877,-5510,3789
-6692,-2412,13500,-1405,-2513,8627
-6172,-1228,12580,-1382,820,8304
-6596,-1948,13572,-1113,2052,5072
-7556,-2984,15756,-1097,3159,3711
-7896,-3092,16296,170,1897,2186
-8156,-4060,16428,-1697,-67,560
-6908,-4012,14412,839,148,3795
-5756,-1612,11844,1228,1078,2277
-6292,-836,12208,-2405,1778,2340
-6944,-1280,13840,-2953,-6,1484
-7920,-1636,15760,-2411,-379,2347
-8464,-2132,16616,-1811,-1869,1968
-8224,-3520,16372,-3054,-2056,2103
-8412,-4700,15860,-1250,-1684,2276
-6732,-3304,13132,1099,-867,4127
-5656,-820,11532,-56,1688,3947
-6140,-836,12828,-949,2599,1503
-7636,-1340,14752,-1727,2233,-868
-8952,-2476,15904,-823,319,103
-9276,-4604,16736,-2236,-3304,-1780
-7536,-3908,14840,1357,-5435,1609
-4976,-824,11720,1226,-2779,657
-5280,-1216,12700,-2578,1569,-53
-6304,-1972,14064,-1142,2631,-868
-7256,-2168,15408,-451,2183,-342
-7856,-2516,16012,1532,-359,-2103
-7808,-4192,15428,603,-205,-3790
-8284,-5456,16012,1324,-159,-3466
-7536,-4324,13896,2142,-460,-1972
-7080,-4640,13616,1707,-734,-2853
-7140,-4612,13500,1410,354,-4701
-6820,-4324,13640,1273,1664,-7651
-7384,-5684,15256,1870,3559,-7582
-6692,-4232,14596,947,3026,-9660
-7128,-3568,14600,575,4731,-3483
-7376,-2728,13752,-104,1012,-6747
-7504,-3652,14236,-2728,488,-3268
-7648,-6116,14324,-876,-1844,-3313
-7004,-5988,14208,400,-577,-1668
-6720,-5596,13856,323,2152,-2089
-7124,-5308,13960,259,2841,-1841
-7452,-4404,13624,132,677,-1431
-7616,-5456,14572,-1222,-1818,-1537
-7504,-4968,14136,755,-64,2
-7248,-5496,12764,-194,-437,-563
-6792,-5872,12328,-722,421,-545
