ax,ay,az,gx,gy,gz
-17416,1464,-2024,7339,-5339,-4884
-19940,1768,-2108,7602,-1570,-7040
-18876,1564,-2156,7887,3051,-7891
-15864,1264,-1784,7439,1317,-7590
-14856,1132,-1652,6275,-4995,-4711
-16708,1264,-1756,5624,-4657,1063
-17188,1380,-1940,5963,3692,6020
-15956,1344,-1784,6155,7188,7131
-15716,1360,-1804,5902,3235,5668
-17496,1536,-1924,5725,-363,3690
-18804,1600,-1944,5938,1046,2099
-17560,1520,-1928,6483,5590,-584
-14832,1152,-1640,6312,2863,-2866
-15096,1160,-1756,5059,-6236,-2290
-18016,1412,-2092,4295,-8871,1100
-19200,1528,-2032,4314,-4374,4487
-17296,1420,-1808,4286,-1331,6085
-15028,1152,-1660,3896,-4017,5662
-15588,1332,-1900,3602,-7159,3620
-17232,1520,-1844,4211,-2028,522
-16652,1352,-1860,5139,5611,-3376
-15600,1216,-1724,5151,4883,-6618
-16528,1332,-1784,4394,-306,-7745
-18596,1388,-1924,3849,-1529,-6411
-18568,1444,-1984,3685,2387,-3175
-16300,1212,-1852,3425,4527,133
-14268,1060,-1596,2567,-24,3150
-15956,1344,-1784,1832,-5361,4648
-18604,1620,-1944,2008,-2624,5449
-18668,1612,-1892,2661,2775,5272
-16632,1456,-1724,2916,3286,3746
-15504,1132,-1656,2664,-1383,1570
-16240,1292,-1740,2485,-3834,-253
-17272,1340,-1860,2750,-4,-439
-16172,1212,-1736,2847,3103,-617
-15552,1200,-1584,2337,-1257,-1931
-17104,1376,-1872,1657,-6369,-3206
-18796,1660,-1944,1466,-5608,-3576
-18140,1520,-1876,1735,-120,-3302
-15388,1236,-1632,1830,2249,-3144
-14328,1164,-1524,1299,-845,-2089
-16460,1252,-1776,886,-2459,150
-18496,1428,-1912,1099,2649,3523
-17924,1428,-2008,1377,7072,5930
-16312,1232,-1820,1160,5326,6534
-15972,1260,-1712,616,-200,5615
-17124,1468,-1892,543,-1842,3553
-17136,1384,-1860,1072,1721,333
-15768,1380,-1700,1087,1107,-3468
-15948,1296,-1756,540,-4848,-6274
-17964,1484,-2000,106,-7978,-6988
-18952,1532,-1968,148,-4800,-5638
-17160,1380,-1804,293,101,-2889
-14660,1052,-1604,-188,26,274
-15020,1168,-1680,-827,-2973,2618
-17320,1416,-1792,-758,-94,3833
-18324,1640,-2032,-318,5422,4698
-17268,1488,-1928,-24,7777,4084
-16256,1356,-1788,-129,4188,2328
-16600,1400,-1640,-324,-231,207
-17340,1312,-1900,-276,407,-918
-16352,1256,-1804,-217,2845,-867
-15264,1212,-1704,-791,-806,-1017
-16572,1300,-1820,-1520,-6559,-1829
-18600,1592,-2028,-1734,-6871,-2564
-18800,1616,-1888,-1469,-2572,-2629
-16448,1396,-1648,-1245,669,-2566
-14680,1172,-1608,-1471,-1306,-2717
-15744,1296,-1604,-1818,-2807,-1874
-17452,1328,-1812,-1621,1699,850
-17312,1388,-1852,-1442,6075,3990
-16700,1288,-1752,-1622,5409,5474
-16456,1192,-1744,-2068,1123,5905
-17248,1348,-1924,-2204,-1069,5095
