ax,ay,az,gx,gy,gz,thetaG,phiG,thetaA,phiA,theta,phi
0.7841796875,0.1076660156,-0.5952148437,7.0687022209,-96.1221389770,-27.1145038604,23292.8867187500,-89303.0703125000,-27.1145038604,-52.3553352355,7.6221737861,-77.1247863769
0.7780761718,0.0678710937,-0.7377929687,21.8091602325,-35.4503822326,5.5725193023,26150.9765625000,-93948.8437500000,5.5725193023,-46.4016914367,7.9490122795,-74.0229644775
0.6882324218,0.1323242187,-0.6701660156,23.4580154418,-66.1297683715,17.4809169769,29225.1503906250,-102615.1484375000,17.4809169769,-45.2142372131,8.9300889968,-72.5121688842
0.6965332031,0.0346679687,-0.7561035156,47.0992355346,-28.9007625579,49.9083976745,35397.5039062500,-106402.5937500000,49.9083976745,-42.6217269897,9.8820085525,-69.2568893432
0.6811523437,0.0385742187,-0.8056640625,57.4045791625,-31.9007625579,85.2290039062,42920.3750000000,-110583.1875000000,85.2290039062,-40.1806640625,11.1534948348,-66.2512435913
0.6445312500,-0.2622070312,-0.6818847656,69.9312973022,-23.1450386047,83.9923629760,52084.8710937500,-113616.3437500000,83.9923629760,-41.4200744628,10.1105804443,-63.5102348327
0.6232910156,-0.2758789062,-0.7783203125,21.7709922790,-38.1374053955,84.6183242797,54937.9609375000,-118614.2500000000,84.6183242797,-37.0455856323,7.1994676589,-61.1613807678
0.5961914062,-0.2500000000,-0.8161621093,13.0305347442,-34.0839691162,50.7099227905,56645.6132812500,-123080.9531250000,50.7099227905,-34.9323539733,4.5893802642,-58.6755943298
0.6464843750,-0.4355468750,-0.8845214843,-12.5114507675,-27.6641216278,44.1908378601,55005.9882812500,-126706.3359375000,44.1908378601,-33.2529792785,0.1172287464,-56.0379257202
0.4418945312,-0.2661132812,-0.8395996093,-24.8625946044,-45.2213745117,63.6870231628,51747.7460937500,-132632.6093750000,63.6870231628,-26.6437339782,-3.3071551322,-53.5507087707
0.3791503906,-0.3715820312,-0.8166503906,-1.4732824325,-7.9465646743,48.6793899536,51554.6718750000,-133674.0000000000,48.6793899536,-22.9082813262,-6.2375693321,-49.2920722961
0.3952636718,-0.6513671875,-0.7666015625,2.9465648651,-42.3053436279,38.8549613952,51940.8203125000,-139218.1093750000,38.8549613952,-21.4509334564,-10.7357521057,-46.9138793945
0.3999023437,-0.3454589843,-0.9106445312,-30.6717548370,-54.3511466979,1.1450381278,47921.2851562500,-146340.8281250000,1.1450381278,-22.3225860595,-13.3020668029,-45.5351104736
0.3896484375,-0.3896484375,-0.9692382812,-7.0763359069,-75.2748107910,24.3893127441,46993.9296875000,-156205.5937500000,24.3893127441,-20.4556121826,-14.6758441925,-44.9723663330
0.1691894531,-0.2958984375,-0.9438476562,24.4961833953,-43.3511466979,45.3893127441,50204.1562500000,-161886.7656250000,45.3893127441,-9.7063093185,-14.0057868957,-41.5248832702
0.1899414062,-0.3669433593,-0.9770507812,-21.1908397674,7.2290077209,44.2366409301,47427.0976562500,-160939.4062500000,44.2366409301,-10.3144502639,-15.8410711288,-36.5360870361
0.2199707031,-0.3957519531,-0.9785156250,9.2290077209,17.2442741394,31.7175579071,48636.5585937500,-158679.5468750000,31.7175579071,-11.7720193862,-16.3027591705,-32.0885963439
0.1569824218,-0.3869628906,-0.9060058593,-11.9389314651,-27.4045810699,29.8244266510,47071.9609375000,-162270.9218750000,29.8244266510,-9.0535869598,-17.7882328033,-29.7980384826
0.1687011718,-0.4218750000,-1.0227050781,9.7786254882,-18.4580154418,25.5725193023,48353.4492187500,-164689.8437500000,25.5725193023,-8.6703014373,-18.0264186859,-27.4133434295
0.1547851562,-0.3020019531,-0.9404296875,-13.2977094650,-26.9236640930,61.2824440002,46610.7851562500,-168218.1875000000,61.2824440002,-8.9062604904,-18.5248756408,-25.7815380096
0.0712890625,-0.3562011718,-0.9167480468,10.1450386047,-38.0458030700,72.5267181396,47940.2929687500,-173204.0937500000,72.5267181396,-4.1457653045,-18.4912796020,-24.1531181335
0.0354003906,-0.4020996093,-0.9606933593,-5.5038166046,-1.5114503860,15.0534353256,47219.0195312500,-173402.1718750000,15.0534353256,-1.9468187332,-19.3561973571,-20.8864116668
-0.0144042968,-0.4121093750,-0.8767089843,17.4198474884,-33.4656486511,45.9236640930,49501.8906250000,-177787.8437500000,45.9236640930,0.8518762588,-19.4884567260,-19.0479602813
-0.0180664062,-0.5244140625,-0.9987792968,-9.1832065582,7.4427480697,-9.5114507675,48298.4296875000,-176812.4687500000,-9.5114507675,0.9175218582,-21.1101875305,-15.7368211746
0.0104980468,-0.4448242187,-0.9763183593,10.5419845581,-11.8473281860,18.3129768371,49679.9570312500,-178365.0625000000,18.3129768371,-0.5606181621,-21.1696376800,-13.9639024734
-0.0251464843,-0.4038085937,-0.9211425781,8.3740453720,1.1908396530,1.5725190639,50777.3750000000,-178209.0000000000,1.5725190639,1.4322291374,-21.1878547668,-11.6038722991
-0.0815429687,-0.4089355468,-0.8771972656,-0.7251908302,-6.3969464302,20.1068706512,50682.3398437500,-179047.3125000000,20.1068706512,4.8159685134,-21.7754859924,-9.4127664566
-0.0346679687,-0.4638671875,-0.9694824218,-1.6335878372,-6.0000000000,8.1679391860,50468.2578125000,-179833.6093750000,8.1679391860,1.8475514411,-22.4119052886,-7.9787192344
-0.0500488281,-0.4592285156,-0.9816894531,-10.2213745117,-26.3053436279,32.4427490234,49128.7460937500,-183280.9218750000,32.4427490234,2.6440045833,-23.2407360076,-7.5032877922
-0.1350097656,-0.4726562500,-0.9394531250,11.6412210464,-26.6793899536,23.4045810699,50654.3281250000,-186777.2500000000,23.4045810699,7.3155331611,-23.2308864593,-6.4143390655
-0.1159667968,-0.4504394531,-0.9404296875,-1.0839694786,-12.7480916976,-6.2595419883,50512.2734375000,-188447.8906250000,-6.2595419883,6.3459973335,-23.6060848236,-5.0420827865
-0.1306152343,-0.3745117187,-0.9555664062,4.5648856163,-11.1832065582,3.7022900581,51110.5000000000,-189913.4531250000,3.7022900581,7.2526793479,-23.0544586181,-3.6731548309
-0.1569824218,-0.4575195312,-0.9035644531,-7.5877861976,-6.2061066627,3.6488549709,50116.1210937500,-190726.7656250000,3.6488549709,8.8106927871,-23.8958015441,-2.0643372535
-0.1486816406,-0.4565429687,-0.9421386718,-9.4122133255,-6.1603055000,-1.3511450290,48882.6523437500,-191534.0781250000,-1.3511450290,8.0829324722,-24.5482234954,-0.8040598869
-0.1340332031,-0.4450683593,-0.9145507812,-6.4351143836,-8.7862596511,4.9007635116,48039.3320312500,-192685.5156250000,4.9007635116,7.5071797370,-24.9961681365,0.0692100524
-0.1308593750,-0.4594726562,-0.9506835937,-8.6870231628,2.8015268325,-11.3053436279,46900.8984375000,-192318.3750000000,-11.3053436279,7.0647678375,-25.4536590576,1.2376086711
-0.1643066406,-0.4055175781,-0.8911132812,-4.4274806976,-12.4809160232,2.4045801162,46320.6757812500,-193954.0000000000,2.4045801162,9.5268020629,-25.4402351379,1.9505489349
-0.1518554687,-0.4409179687,-0.9167480468,0.2519083976,-1.9312976837,2.4809160232,46353.6875000000,-194207.0937500000,2.4809160232,8.4902839660,-25.4210948944,2.8494291305
