ax,ay,az,gx,gy,gz
-2628,-5644,15388,-2652,3671,-593
-532,-6300,13764,2264,-4129,1195
-3044,-6000,15864,2950,-1261,2780
-2728,-4720,15996,3609,-2824,-88
-2464,-3872,16392,244,-5496,4239
-2904,-4344,15852,9715,-3348,2951
-1564,-1888,15680,1590,-1640,2702
-2980,-2940,16912,229,2578,2842
-1456,-3700,15136,337,638,1965
-1716,-3900,14932,4991,1273,2983
-1816,-2156,15544,-394,3463,9535
-2336,-2068,16428,5301,6146,8763
-7104,-816,16960,1625,9689,3874
-8032,-892,15356,-535,11743,2236
-9448,-1068,14092,-3991,6419,1628
-9824,-1088,14916,-7393,3467,5265
-10652,-1524,13340,-5719,11772,7498
-14776,-2708,10636,-4084,1478,6955
-9900,40,12656,280,-1325,-5951
-13880,712,12188,3443,7563,8756
-11628,1876,12008,2174,-2940,1104
-12160,276,12232,3228,2870,1449
-10564,2720,10544,6238,-1628,2590
-11084,2596,11100,2638,139,4542
-11216,3128,10352,10455,-325,2449
-11352,6176,10512,9058,1574,588
-9440,8512,7852,9996,736,3628
-10796,8308,9936,2308,4704,2908
-12768,7396,10512,-5535,7478,2521
-12188,7512,7092,-1028,10220,5829
-11320,9832,5916,-3331,12090,7452
-13004,10644,6452,-4869,11156,7741
-13276,8436,5888,-5494,6033,-1315
-12648,9104,3648,1212,5294,-194
-13008,9224,4000,-2411,3917,247
-12656,8528,3428,-3491,-267,-1489
-20208,9240,11444,-1820,795,-2332
-13924,9092,3000,-1089,1646,-4079
-13788,9540,5324,9641,2617,7740
-12376,5208,244,1958,4486,-622
-13664,8436,76,2378,360,-3240
-14256,9492,1696,115,4498,-2172
-13176,8008,-2200,2604,1214,-5922
-15384,7688,1036,3132,2759,-3815
-15116,7964,96,-7116,6808,-8584
-16380,6180,552,5175,-2915,-1690
-15336,5872,-644,825,-1733,-4784
-14372,5156,-1768,3444,1366,-5688
-16112,3616,-3704,-10754,5068,-284
-17208,3772,1148,3631,-3347,1113
-13452,-544,-1396,-949,542,1835
-14716,4628,-1996,2439,2000,2075
-17240,4296,-516,-51,1405,4953
-17212,4680,-1048,664,1530,1338
-17808,4420,-1172,3007,775,-4713
-15264,2924,-1732,6313,4620,-6944
-15840,4136,-1908,4080,1887,-1397
-17040,3824,-3240,-1507,1513,-1531
-15772,2504,-2412,-1353,741,-7280
-16272,1348,-2456,-3717,2343,2460
-16864,3992,-3460,2854,-8501,3766
-16136,1884,-1576,1222,-3208,-4791
-18388,4432,-2356,-6538,-920,1008
-18012,3156,-928,1243,-4969,3340
-16260,2488,-808,3020,855,3156
-17104,2252,-752,8538,5434,-966
-15276,4956,-1108,3883,3589,-3710
-15620,2480,-2804,-7982,-2491,2475
-16408,2400,-2000,8078,-136,-975
-16376,2400,2488,-1089,-379,119
-7952,-920,-4772,-2854,-3942,5476
-18940,6236,-824,1240,9844,4552
-15692,1412,284,-5623,-2575,-6631
-15780,3000,-3484,-612,623,1534
-16300,5084,-4032,1628,-2316,-887
-15984,1628,-2004,-1472,3694,-2673
-15400,3056,-1536,-500,3383,54
-16248,3348,-2932,1539,1156,-146
-17224,3112,-3488,3571,-1676,1601
-18324,2480,-2792,1644,6138,2671
-18748,3740,-1572,-438,-205,-265
-15760,3184,-4072,-2961,-1824,15
-14536,2664,-4520,-1304,-1297,-2078
-16024,1944,-3860,3762,3136,-1092
-17204,2412,-4164,3387,-4219,-1027
-14480,2052,-3560,3187,-211,2158
-17256,2368,-4276,4296,1192,-1345
-15668,2332,-3972,2147,-4644,2018
-15344,2036,-3772,3746,2427,-1075
-17284,2444,-4392,2420,-2575,827
-14696,1884,-3536,2601,-1764,636
-16720,3028,-4252,2357,2312,-773
-15656,2864,-3828,-4980,-4806,-848
-15732,788,-3260,-2980,3098,398
-17096,2476,-4232,-1659,570,-1174
-15256,2112,-3864,-2608,-2521,595
-15932,2168,-4004,-1091,3609,-1519
-16808,2312,-4104,-2644,-2173,890
-14492,1516,-3392,-1291,1406,-471
-17476,2788,-4184,-3512,-76,-985
