ax,ay,az,gx,gy,gz
-17880,2140,1508,1961,-6209,-4104
-16432,1932,1644,1926,-7440,-3369
-14900,1672,1648,2479,-4449,-3293
-14228,1628,1692,3478,302,-1945
-15048,1716,1628,4484,4829,1148
-16904,2020,1552,5110,7375,2202
-18448,2164,1556,4942,5555,473
-18076,2172,1512,4327,616,32
-17184,2080,1464,3748,-4384,345
-16388,1928,1452,3267,-7748,-582
-15684,1856,1604,3396,-7468,-808
-15116,1684,1756,4198,-3572,1063
-15020,1704,1556,4883,1082,710
-16276,1800,1476,5169,4147,-1879
-17932,2116,1536,4986,3867,-2868
-18608,2296,1480,4427,645,-3141
-17504,2072,1548,3832,-2785,-4161
-15724,1732,1516,3865,-4189,-2379
-14996,1672,1660,4469,-3278,1486
-15100,1720,1776,5295,-37,3291
-15984,1836,1728,6012,3297,2641
-16752,2016,1500,6254,3832,2269
-17200,2020,1568,5852,1467,561
-17948,2152,1492,5007,-2984,-2644
-17840,2144,1572,4387,-7451,-3583
-16364,1920,1580,4497,-7903,-2114
-14844,1688,1728,5156,-4372,-1715
-14476,1632,1672,5932,688,-1772
-15900,1824,1468,6701,5646,-827
-17564,2068,1572,6722,6484,-1394
-18228,2120,1580,6061,3243,-2680
-17492,2008,1492,5457,-1503,-1349
-16896,2016,1460,5209,-5023,1199
-16244,1864,1632,5252,-5872,2092
-15668,1824,1752,5715,-3474,2384
-15216,1680,1556,6284,207,2483
-15412,1828,1588,6318,2215,-30
-16700,1928,1640,5866,1781,-3384
-18164,2184,1688,5284,-1028,-4021
-18152,2184,1596,4753,-4440,-3096
-16912,1964,1516,4610,-5515,-2682
-15620,1820,1476,4969,-3599,-1234
-15248,1744,1600,5576,151,500
-15620,1816,1740,6021,4143,58
-16464,1924,1456,6071,5975,-1205
-16852,1996,1476,5613,3516,-388
-17300,2080,1516,5057,-665,573
-17912,2076,1596,4418,-4762,805
-17560,1976,1580,4098,-7016,1703
-15944,1840,1672,4191,-5751,2099
-14816,1724,1620,4379,-2341,-219
-15084,1756,1612,4480,1003,-3159
-16300,1952,1796,4478,3124,-4093
-17360,2036,1576,4229,2823,-4057
-17488,2176,1492,3756,655,-3414
-17072,1944,1520,3626,-1467,-598
-16928,2008,1592,3798,-2412,2650
-16580,1940,1724,3959,-1937,3196
-15836,1848,1720,4225,-91,2216
-15232,1804,1644,4296,1345,1263
-15688,1892,1572,4049,1404,-878
-17116,2036,1592,3443,-491,-2941
-18060,2092,1700,2960,-3196,-2560
-17584,2076,1536,2730,-4983,-1374
-16296,1904,1644,2830,-4147,-1184
-15672,1792,1680,3131,-1432,-635
-15744,1824,1808,3537,1995,159
-15988,1892,1832,3788,4795,-406
-16212,1912,1572,3578,4902,-1176
-16568,1924,1580,3168,2252,-251
-17272,2076,1464,2638,-1439,930
-17908,2096,1576,2134,-4888,990
-17304,2016,1636,1838,-6332,1169
-15840,1872,1504,1955,-4735,1206
-14988,1840,1588,2139,-1237,-593
-15528,1788,1680,2357,2907,-2843
-16696,1952,1760,2370,4955,-3077
-17236,2100,1640,2040,4127,-2591
-17172,2000,1560,1484,1268,-1775
-17028,1924,1580,1165,-1944,621
-17184,1932,1580,997,-4274,3141
-16580,1900,1636,989,-4437,3400
-15628,1776,1796,1154,-2304,2203
-15136,1796,1588,1285,430,778
-15724,1824,1568,1187,2566,-1643
-17112,2008,1668,859,3157,-4084
-17808,2132,1648,329,1463,-4037
-17128,2012,1536,-19,-822,-2232
-16252,1916,1676,-203,-2282,-298
-16060,1912,1588,-65,-2758,2039
-16172,1864,1812,242,-1749,4250
-16552,1884,1732,583,1173,3441
-16512,1956,1696,317,1451,1271
-16772,2012,1504,-90,980,-837
-17420,2120,1708,-648,66,-3132
-17352,2112,1704,-1173,-1009,-4599
-16340,1900,1692,-1334,-1202,-3339
-15396,1752,1560,-1163,-752,-523
-15408,1776,1656,-988,-159,1816
-16212,1936,1744,-770,508,3444
-17056,2024,1692,-665,729,4345
-17064,1980,1612,-902,301,3013
-16812,2004,1544,-1299,-40,27
-16868,1932,1552,-1688,-117,-2340
-17056,2000,1624,-2024,-30,-3192
-16372,1904,1724,-2149,612,-3397
-15564,1748,1752,-2151,1195,-2026
-15516,1760,1532,-2010,1164,963
-16432,1912,1736,-2021,155,2906
-17460,2084,1720,-2242,-1140,3037
-17424,2076,1604,-2492,-2262,2539
-16612,2004,1568,-2673,-2041,1491
-16224,1920,1620,-2756,-472,-561
-16280,1900,1676,-2718,1574,-1934
-16272,1836,1720,-2631,3499,-1430
-16012,1868,1700,-2668,4141,-560
-15868,1828,1644,-2880,2792,-74
-16548,1936,1584,-3267,222,571
-17536,2100,1640,-3679,-2500,1017
-17616,2096,1652,-4072,-4243,359
-16676,2000,1592,-4130,-3764,-278
-16560,1960,1556,-3501,939,921
-16996,2028,1688,-2717,5913,1964
-17412,2128,1656,-2866,4091,2395
-16888,1960,1624,-3400,962,988
-16564,2044,1468,-4060,-1940,-991
-16616,1964,1644,-4538,-3505,-2171
-16360,1996,1732,-4625,-2884,-2791
-15784,1900,1632,-4358,-634,-2401
-15648,1800,1636,-3894,1524,-160
-16208,1836,1472,-3511,2510,2744
-17276,2012,1648,-3361,1991,4184
-17664,2096,1692,-3513,310,4008
-16836,1976,1612,-3712,-1071,2955
-15932,1912,1540,-3961,-1090,470
-15868,1868,1560,-4087,97,-2327
-16244,1912,1772,-4052,2101,-3349
-16312,1900,1712,-3963,3491,-2452
-16360,1924,1488,-3970,3022,-1080
-16596,1944,1580,-4141,787,765
-17368,2028,1516,-4367,-2122,2530
-17460,2060,1580,-4656,-4264,2631
-16468,1916,1648,-4766,-4076,1539
-15548,1820,1616,-4572,-1536,885
-15460,1740,1644,-4084,1992,636
-16144,1824,1684,-3690,5044,363
-16992,2000,1520,-3542,6064,645
-17048,2052,1624,-3727,4068,1223
-16808,1960,1368,-4290,645,487
-16852,2076,1584,-4900,-2501,-1019
-16956,2040,1648,-5292,-4141,-1814
-16420,1944,1744,-5221,-3404,-1840
-15548,1720,1616,-4836,-876,-1213
-15708,1812,1548,-4191,1846,951
-16540,1940,1576,-3710,3052,3453
-17424,2032,1664,-3532,2563,4330
-17280,2032,1568,-3641,901,3548
-16544,1944,1596,-3877,-465,1898
-16136,1888,1572,-4131,-816,-729
-16268,1980,1668,-4233,16,-3202
-16324,1980,1720,-4108,1521,-3645
-16228,1848,1692,-3886,2506,-2159
-16052,1832,1516,-3739,2016,-234
-16588,1872,1664,-3663,296,1706
-17440,2008,1680,-3689,-1917,3267
-17332,2096,1716,-3783,-3378,3220
-16332,1872,1584,-3740,-2894,1677
-15600,1884,1592,-3438,-595,271
-15796,1832,1756,-3052,2372,-480
-16496,1936,1692,-2687,4957,-1132
-16876,1960,1668,-2608,5205,-904
-16652,1896,1548,-2812,3003,59
-16680,1960,1528,-3180,-344,398
-17068,2020,1612,-3524,-3512,8
-17068,1984,1676,-3639,-5038,-110
-16240,1904,1600,-3426,-4002,30
-15540,1740,1632,-2919,-1084,37
-15604,1764,1608,-2274,2247,613
-16436,1972,1764,-1676,4626,1763
-17200,2000,1624,-1401,4899,2100
-17008,1988,1540,-1514,3003,1264
-16604,2008,1528,-1857,96,229
-16636,1964,1612,-2281,-2626,-941
-16696,2028,1600,-2478,-4011,-2281
-16376,1932,1712,-2302,-3314,-2502
-15944,1812,1652,-1685,-841,-1011
-15924,1868,1672,-1103,1445,567
-16696,1952,1620,-589,2836,1991
-17320,2052,1700,-291,2581,3124
-16872,2044,1704,-280,1344,2589
-16080,1876,1648,-455,-70,619
-15864,1820,1700,-664,-1265,-1124
-16348,1940,1668,-790,-1775,-2472
-16856,1960,1668,-802,-1670,-3228
-16744,1976,1604,-527,-1382,-2095
-16324,1896,1624,-93,-574,-58
-16520,1916,1696,396,528,1553
-16636,1920,1808,857,1549,2568
-16424,1944,1596,1210,2289,2694
-16012,1856,1612,1242,2016,1161
-16304,1940,1624,939,291,-815
-16900,2032,1568,563,-1892,-1932
-17368,2068,1604,393,-3586,-2489
-16836,2024,1712,494,-3861,-2228
-16004,1816,1600,988,-2368,-821
-15784,1772,1672,1545,230,646
-16276,1952,1660,2115,2719,1103
-16684,1988,1620,2466,4102,1029
-16664,1956,1624,2493,3374,694
-16460,1936,1624,2156,793,-178
-16824,2052,1544,1735,-2349,-827
-17160,2072,1564,1519,-4771,-656
-16848,2024,1680,1600,-5244,-157
-15980,1840,1708,1918,-3473,-223
-15536,1744,1692,2411,-354,-512
-16064,1892,1628,2862,2568,-872
-17120,2020,1632,3033,4247,-1763
-17044,2012,1592,2757,2979,-1994
-16628,1920,1424,2480,407,-996
-16324,1916,1640,2306,-2286,345
-16556,1900,1684,2258,-3916,1569
-16620,1920,1680,2468,-3741,2452
-16160,1896,1600,2773,-2153,2191
-15788,1820,1544,2909,-97,283
-16192,1916,1624,2939,1341,-2150
-17004,2028,1776,2777,1616,-3604
-17292,2044,1580,2496,672,-4036
-16668,1884,1596,2360,-616,-3059
-16120,1856,1660,2441,-1361,-564
-16224,1884,1632,2761,-1264,2150
-16456,1924,1812,3095,-390,3443
-16492,1948,1656,3315,635,3140
-16240,1892,1664,3294,910,1598
-16304,1952,1580,2927,-28,-876
-16920,1976,1672,2400,-1567,-3167
-17228,2072,1604,2063,-3079,-3843
-16604,1972,1660,2067,-3350,-2918
-15788,2752,1260,11393,-2161,-8685
-17700,-76,4028,-999,484,-398
-16608,2176,4728,3715,-979,-706
-15680,1076,5348,319,1708,999
-15552,1740,5048,9114,-2167,-2855
-14576,2376,4576,-213,-440,1482
-15636,4860,5176,1690,-5139,-2936
-11980,156,10856,6456,-4880,4670
-12696,2328,9844,-438,-833,5667
-11200,6048,7828,4456,3227,-4064
-12732,4380,9204,2202,435,493
-13228,5516,9188,-413,-1449,-1263
-11576,5796,9484,-299,-1704,2157
-11152,6520,10452,-2404,338,4621
-9464,7980,10776,-890,661,363
-10096,7492,11104,-182,-109,440
-10120,7912,9416,1453,1280,160
-10520,7604,9868,104,-819,-1705
ax,ay,az,gx,gy,gz
-15212,4192,-2780,-276,3856,6094
-14796,6460,-1120,8122,2606,442
-14492,8048,-2436,-4442,-2206,-5214
-15060,4892,-1336,-3132,4861,1760
-17024,5680,-1460,-2739,3054,-11612
-18216,6452,-1540,-4939,237,1170
-16312,5360,-1364,-6610,-2383,8244
-13972,4560,-1144,-5419,-1998,-6458
-14200,4852,-1080,-4207,1641,-3897
-14952,4932,-1352,11299,1563,467
-16380,5396,-1476,10574,2018,1144
-17664,6000,-1496,9391,-1473,-1081
-18668,6240,-1800,285,-133,4275
-14808,5440,-1476,-8956,3136,4539
-15492,5060,-1380,-8374,4381,-7767
-16520,5656,-1508,-8671,4984,-2009
-16244,5444,-1492,-9928,3263,6069
-15208,4992,-1428,-9802,1615,-3232
-15340,5228,-1448,-9380,1932,-6493
-15500,5036,-1020,8720,1375,5062
-15092,4848,-1420,9732,1316,1491
-16752,5664,-1600,9909,140,-7399
-16988,5888,-1568,7763,-2706,4193
-15912,5212,-1380,6613,-5278,5693
-15732,5200,-1452,7253,-6487,-7898
-15144,5244,-1440,7153,-5839,-2067
-13920,4588,-1252,7714,-2051,8026
-14588,4684,-1340,9593,1095,-1604
-16472,5584,-1588,9561,773,-5426
-18416,6372,-1744,7916,-1612,7481
-16660,4404,-904,4376,-3486,8636
-16008,5264,-1460,4221,-4929,-10458
-15344,5244,-1336,3766,-5292,-4861
-13912,4576,-1256,3407,-2515,12185
-13656,4056,-764,1647,2311,-2122
-16084,5256,-1212,869,5090,-7593
-17448,5960,-1480,1329,2433,6863
-16964,5556,-1484,539,-533,3539
-16376,5420,-1576,5526,-6147,-10122
-15284,5440,-1512,3764,-7375,-701
-13812,4444,-1156,3122,-4233,8562
-14608,4884,-1292,6392,-6667,-7518
-14832,5616,-1220,-2883,811,-4468
-14872,5012,-1324,-4842,4328,9918
-14808,5536,-900,-5341,5548,578
-15480,5168,-1368,-8223,4244,-9166
-18292,6204,-2376,-23557,1123,1007
-15604,1772,-3780,1993,-3248,12808
-16452,5876,-4052,4016,-11463,-9169
-13608,5116,-3520,513,-652,8024
-12824,4388,-3272,4136,2607,-3266
-13088,5492,-3176,2793,3346,-2687
-15760,6236,-3604,-204,2156,9647
-13196,3388,-2184,5843,9780,-15251
-13408,6128,-4068,-2318,6155,-4467
-16828,5584,-3872,-3549,5202,-2310
-14884,6264,-4188,-1087,-3435,724
-13180,4224,-3524,-1896,-650,-1143
-15304,4888,-3548,-1567,-1292,258
-15540,3248,-3356,-2969,2721,-1986
-14816,5140,-4304,-1926,148,-3367
-15620,5124,-3184,-324,-1372,1125
-15184,4612,-3128,-42,1891,-4
-15352,4084,-2696,120,-2017,517
-9520,4252,-3044,2777,-3117,-17204
-11332,5424,-3312,1400,8696,17894
